datetime,SPY,cash,commission,total,returns,equity_curve,drawdown
2006-01-03,0.0,100000.0,0.0,100000.0,,,
2006-01-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2006-01-11,9286.199200000001,90741.9449,1.3,100028.1441,0.0002814410000000489,1.000281441,0.0
2006-01-12,0.0,100026.8441,2.6,100026.8441,-1.2996342296456298e-05,1.000268441,1.3000000000040757e-05
2006-01-13,0.0,100026.8441,2.6,100026.8441,0.0,1.000268441,1.3000000000040757e-05
2006-01-17,9215.8218,90784.591,3.9000000000000004,100000.4128,-0.000264242066595366,1.000004128,0.00027731300000000125
2006-01-18,0.0,99999.1128,5.2,99999.1128,-1.2999946336300638e-05,0.999991128,0.000290313000000042
2006-01-19,0.0,99999.1128,5.2,99999.1128,0.0,0.999991128,0.000290313000000042
2006-01-20,0.0,99999.1128,5.2,99999.1128,0.0,0.999991128,0.000290313000000042
2006-01-23,0.0,99999.1128,5.2,99999.1128,0.0,0.999991128,0.000290313000000042
2006-01-24,9087.9898,90919.1568,6.5,100007.1466,8.03387127650268e-05,1.000071466,0.00020997499999997338
2006-01-25,9095.8923,90919.1568,6.5,100015.0491,7.901935280307804e-05,1.0001504910000003,0.000130949999999741
2006-01-26,9146.160899999999,90919.1568,6.5,100065.3177,0.000502610361664102,1.0006531770000004,0.0
2006-01-27,0.0,100064.0177,7.8,100064.0177,-1.2991514241722513e-05,1.0006401770000004,1.3000000000040757e-05
2006-01-30,0.0,100064.0177,7.8,100064.0177,0.0,1.0006401770000004,1.3000000000040757e-05
2006-01-31,9156.2119,90838.9971,9.1,99995.20899999999,-0.000687646784344631,0.9999520900000003,0.0007010870000001557
2006-02-01,0.0,99993.909,10.4,99993.909,-1.30006228596935e-05,0.9999390900000005,0.0007140869999999744
2006-02-02,0.0,99993.909,10.4,99993.909,0.0,0.9999390900000005,0.0007140869999999744
2006-02-03,0.0,99993.909,10.4,99993.909,0.0,0.9999390900000005,0.0007140869999999744
2006-02-06,9091.5825,90924.7226,11.700000000000001,100016.3051,0.0002239746422953992,1.0001630510000004,0.0004901260000000907
2006-02-07,0.0,100015.0051,13.000000000000002,100015.0051,-1.2997880682541485e-05,1.0001500510000003,0.0005031260000001314
2006-02-08,0.0,100015.0051,13.000000000000002,100015.0051,0.0,1.0001500510000003,0.0005031260000001314
2006-02-09,0.0,100015.0051,13.000000000000002,100015.0051,0.0,1.0001500510000003,0.0005031260000001314
2006-02-10,9094.4542,90935.76699999999,14.300000000000002,100030.2212,0.00015213817151527032,1.0003022120000005,0.0003509649999999809
2006-02-13,0.0,100028.9212,15.600000000000003,100028.9212,-1.2996072430992989e-05,1.0002892120000004,0.00036396500000002163
2006-02-14,0.0,100028.9212,15.600000000000003,100028.9212,0.0,1.0002892120000004,0.00036396500000002163
2006-02-15,0.0,100028.9212,15.600000000000003,100028.9212,0.0,1.0002892120000004,0.00036396500000002163
2006-02-16,9275.4272,90821.1362,16.900000000000002,100096.5634,0.0006762264272026641,1.0009656340000006,0.0
2006-02-17,0.0,100095.2634,18.200000000000003,100095.2634,-1.298745886813002e-05,1.0009526340000006,1.3000000000040757e-05
2006-02-21,9227.3117,90843.6681,19.500000000000004,100070.9798,-0.00024260488633665034,1.0007097980000006,0.0002558360000000093
2006-02-22,9283.322900000001,90843.6681,19.500000000000004,100126.991,0.0005597147156142235,1.0012699100000004,0.0
2006-02-23,0.0,100125.69099999999,20.800000000000004,100125.69099999999,-1.2983512108211137e-05,1.0012569100000004,1.3000000000040757e-05
2006-02-24,9293.3807,90854.70869999999,22.100000000000005,100148.08939999998,0.0002237028256812934,1.0014808940000004,0.0
2006-02-27,0.0,100146.7894,23.400000000000006,100146.7894,-1.2980776845306075e-05,1.0014678940000006,1.2999999999818712e-05
2006-02-28,9208.6388,90848.5213,24.700000000000006,100057.1601,-0.0008949792653063504,1.0005716010000005,0.0009092929999998667
2006-03-01,0.0,100055.86009999999,26.000000000000007,100055.86009999999,-1.2992573432013543e-05,1.0005586010000005,0.0009222929999999074
2006-03-02,0.0,100055.86009999999,26.000000000000007,100055.86009999999,0.0,1.0005586010000005,0.0009222929999999074
